国家名字(英),国家名字(中),地区区域,感染人数,每十万人的感染人数,死亡人数,疫苗接种剂量,接种第一剂的人数,最后一剂接种人数
Global,全球,,772011164,9904.511728,6979786,,,
United States of America,美国,美洲,103436829,31249.547,1138309,668882018,267321711,227948938
China,中国,西太平洋,99319332,6750.508,121781,3516880717,1318026807,1284479582
India,印度,东南亚,45001456,3260.965,533295,2206773886,1025830791,952127942
France,法国,欧洲,38997490,59959.831,167985,158060078,54677676,53189148
Germany,德国,欧洲,38437756,46217.718,174979,193241457,64868618,63566137
Brazil,巴西,美洲,37721749,17746.449,704659,513329718,188746389,171459392
Republic of Korea,大韩民国,西太平洋,34571873,67432.071,35934,135927574,44698288,44288342
Japan,日本,西太平洋,33803572,26727.165,74694,409826682,104707550,103388112
Italy,意大利,欧洲,26284403,44070.669,192717,150322633,50581361,49484658
The United Kingdom,英国,欧洲,24809742,36546.181,231692,151248820,53813491,50762968
Russian Federation,俄罗斯联邦,欧洲,23158908,15869.39,400319,187374508,89081596,79702396
Türkiye,Türkiye,欧洲,17004677,20162.278,101419,,,
Spain,西班牙,欧洲,13980340,29536.378,121852,112886307,41332084,37485721
Australia,澳大利亚,西太平洋,11647861,45678.094,23486,68770769,22193733,21602288
Viet Nam,越南,西太平洋,11624000,11941.822,43206,266492149,90272853,85961564
Argentina,阿根廷,美洲,10054576,22246.717,130472,109652736,41324100,37840119
Netherlands,荷兰,欧洲,8620051,49518.937,22986,37561429,12582081,11767842
Mexico,墨西哥,美洲,7693003,5966.679,334770,222226293,96727823,81346379
Iran (Islamic Republic of),伊朗伊斯兰共和国,东地中海,7623061,9075.834,146633,155445801,65194977,58582625
Indonesia,印度尼西亚,东南亚,6813429,2490.984,161918,448192472,203877425,174958797
Poland,波兰,欧洲,6543412,17238.496,119721,58240570,22984543,22705868
Colombia,哥伦比亚,美洲,6383440,12545.356,142942,90506612,43012174,37019801
Austria,奥地利,欧洲,6081287,68320.9,22534,20403676,6899873,6682372
Portugal,葡萄牙,欧洲,5631629,54697.735,27702,27879893,9822021,8910340
Ukraine,乌克兰,欧洲,5520483,12622.933,109918,31668577,15774300,15153577
Greece,希腊,欧洲,5464525,50981.871,37869,21985885,7917288,7745574
Chile,智利,美洲,5288952,27667.38,61613,66273384,18106832,17716364
Malaysia,马来西亚,西太平洋,5132831,15858.713,37190,72653181,28140956,27554035
Israel,以色列,欧洲,4841772,55938.41,12707,17915305,7055466,6385731
Belgium,比利时,欧洲,4828567,41905.768,34339,29120974,9255132,9158814
Thailand,泰国,东南亚,4758716,6817.647,34489,139343323,57666184,54196116
Canada,加拿大,美洲,4716205,12495.855,53297,97596974,32645232,31311576
Czechia,捷克,欧洲,4676210,43727.667,42981,18618084,6972320,6887986
Peru,秘鲁,美洲,4522474,13716.165,221727,89593907,30487563,28654963
Switzerland,瑞士,欧洲,4422736,51102.614,14086,16755985,6096600,5723066
Philippines,菲律宾,西太平洋,4120411,3760.148,66736,189317158,82684774,78443972
South Africa,南非,非洲,4072533,6866.672,102595,41798812,24210953,21038797
Romania,罗马尼亚,欧洲,3501193,18113.831,68590,16111239,8188146,8142376
Denmark,丹麦,欧洲,3417017,58683.773,8824,14915662,4746509,4711993
Sweden,瑞典,欧洲,2725409,26389.596,25179,23237123,7473037,7334822
Singapore,新加坡,西太平洋,2690776,45993.482,1872,15302530,5284679,5248693
Serbia,塞尔维亚,欧洲,2576202,37192.316,18057,6722671,3398116,3324555
Iraq,伊拉克,东地中海,2465545,6129.767,25375,19557364,11332925,7944775
New Zealand,新西兰,西太平洋,2405475,49883.011,3464,12252378,4241210,4084115
Hungary,匈牙利,欧洲,2212010,22641.938,48834,16570818,6358690,6152042
Bangladesh,孟加拉国,东南亚,2045992,1242.334,29477,362229859,151504394,142193276
Slovakia,斯洛伐克,欧洲,1868472,34234.435,21167,7222567,2840027,2791711
Georgia,格鲁吉亚,欧洲,1855289,46508.088,17132,2739270,1300867,1187212
Jordan,约旦,东地中海,1746997,17122.161,14122,10057975,4821579,4558313
Ireland,爱尔兰,欧洲,1724553,34738.117,9303,12391251,4108813,4063151
Pakistan,巴基斯坦,东地中海,1580631,715.566,30656,340957000,165567890,140475871
Kazakhstan,哈萨克斯坦,欧洲,1502857,8003.837,19072,38355605,13070774,12443364
Finland,芬兰,欧洲,1495008,27057.538,10639,13265058,4547671,4365148
Norway,挪威,欧洲,1489459,27749.172,5732,12335349,4346149,4061312
Slovenia,斯洛文尼亚,欧洲,1347064,64272.583,9487,2993446,1217608,1187389
Lithuania,立陶宛,欧洲,1344804,48130.304,9751,4532726,1956489,1907062
Bulgaria,保加利亚,欧洲,1312102,18875.141,38494,4618931,2108544,2080324
Morocco,摩洛哥,东地中海,1277342,3460.641,16297,55389602,25020168,23521989
Croatia,克罗地亚,欧洲,1276686,31459.687,18458,5435966,2320278,2246622
Guatemala,危地马拉,美洲,1271070,7094.779,20235,20370595,8935137,7127944
Puerto Rico,波多黎各,美洲,1252713,43788.094,5938,7846764,2905470,2688410
Lebanon,黎巴嫩,东地中海,1239904,18165.907,10947,5814699,2740227,2414223
Costa Rica,哥斯达黎加,美洲,1238884,24319.892,9428,13371989,4641899,4358863
Bolivia (Plurinational State of),玻利维亚（多民族国）,美洲,1209619,10362.519,22407,16016290,7492606,6295624
Tunisia,突尼斯,东地中海,1153361,9758.847,29423,13253317,7218871,6401841
Cuba,古巴,美洲,1115103,9844.979,8530,38105906,10749013,10016328
Ecuador,厄瓜多尔,美洲,1070121,6065.395,36043,39495110,15329151,14233323
United Arab Emirates,阿拉伯联合酋长国,东地中海,1067030,10788.54,2349,24922054,9991089,9792266
Panama,巴拿马,美洲,1047813,24284.347,8659,8901881,3533579,3174229
Uruguay,乌拉圭,美洲,1040506,29953.566,7635,9023199,3009801,2902437
Mongolia,蒙古,西太平洋,1011261,30847.21,2284,5668144,2284018,2185282
Nepal,尼泊尔,东南亚,1003450,3443.926,12031,62608595,27882327,24469977
Belarus,白俄罗斯,欧洲,994037,10519.666,7118,22511000,6440777,6356035
Latvia,拉托维亚,欧洲,976798,51203.586,7412,2979624,1344386,1304787
Saudi Arabia,沙特阿拉伯,东地中海,841469,2417.051,9646,68534631,27041364,25433941
Azerbaijan,阿塞拜疆,欧洲,834095,8226.458,10358,13829360,5436662,4888112
Paraguay,巴拉圭,美洲,735957,10318.305,19989,9784169,3995915,3547736
"occupied Palestinian territory, including east Jerusalem",包括东耶路撒冷在内的巴勒斯坦被占领土,东地中海,703228,13784.962,5708,,,
Bahrain,巴林,东地中海,696614,40939.365,1536,3476633,1241174,1226796
Sri Lanka,斯里兰卡,东南亚,672612,3141.102,16885,40116590,17143761,14752827
Dominican Republic,多米尼加共和国,美洲,667075,6149.341,4384,15972891,7322815,6095810
Kuwait,科威特,东地中海,666501,15606.836,2570,8261171,3457475,3346151
Cyprus,塞浦路斯,欧洲,660854,74420.076,1364,1858992,669230,656139
Myanmar,缅甸,东南亚,641366,1178.769,19494,93477104,41551927,35937796
Republic of Moldova,摩尔多瓦共和国,欧洲,627007,15543.202,12152,2291436,1109270,1078813
Estonia,爱沙尼亚,欧洲,602909,45366.433,2906,2205229,845148,842177
Venezuela (Bolivarian Republic of),委内瑞拉玻利瓦尔共和国,美洲,552695,1943.649,5856,37860994,22157232,14287370
Egypt,埃及,东地中海,516023,504.252,24830,112673535,56907319,42337175
Qatar,卡塔尔,东地中海,514524,17858.887,690,7609178,2852178,2852178
Libya,利比亚,东地中海,507269,7382.44,6437,3739158,2316327,1236102
Ethiopia,埃塞俄比亚,非洲,501060,435.842,7574,68856793,52489512,43653006
Réunion,Réunion,非洲,494595,55242.753,921,,,
Honduras,洪都拉斯,美洲,474591,4791.619,11127,16901540,6485671,5751048
Armenia,亚美尼亚,欧洲,450992,15219.588,8774,2256919,1150915,1030758
Bosnia and Herzegovina,波斯尼亚和黑塞哥维那,欧洲,403310,12292.982,16366,1924950,943394,846080
Oman,阿曼,东地中海,399449,7822.171,4628,7086050,3257365,3048826
Luxembourg,卢森堡,欧洲,386030,61655.497,1000,1337942,469286,462732
North Macedonia,北马其顿,欧洲,349868,16793.288,9958,1862987,854570,838181
Zambia,赞比亚,非洲,349287,1899.956,4069,13615707,11711565,9155551
Kenya,肯尼亚,非洲,344070,639.877,5689,23750431,14494372,11090440
Albania,阿尔巴尼亚,欧洲,334090,11609.215,3604,3088966,1349255,1279333
Botswana,博茨瓦纳,非洲,330321,14046.488,2800,3171667,1951054,1663490
Brunei Darussalam,文莱达鲁萨兰国,西太平洋,313380,71633.153,163,1293100,451149,446714
Mauritius,毛里求斯,非洲,309983,24374.178,1054,2616012,1123773,1088142
Kosovo[1],科索沃[1],欧洲,274279,15274.5,3212,,,
Algeria,阿尔及利亚,非洲,271945,620.156,6881,15267442,7840131,6481186
Nigeria,尼日利亚,非洲,267146,129.595,3155,132212099,93176851,80645277
Zimbabwe,津巴布韦,非洲,265821,1788.484,5720,13935112,7497229,5656254
Montenegro,黑山,欧洲,251280,40008.789,2654,523735,272152,251583
Mozambique,莫桑比克,非洲,233654,747.563,2249,34950858,22869646,21329745
Martinique,马提尼克,美洲,230354,61384.355,1104,401816,150795,145536
Afghanistan,阿富汗,东地中海,227922,585.491,7956,22207574,18618143,17836792
Lao People's Democratic Republic,老挝人民民主共和国,西太平洋,218894,3008.621,671,13879410,6324678,5691962
Iceland,冰岛,欧洲,209328,57486.53,186,869976,307269,297921
Guadeloupe,瓜德罗普,美洲,203235,50793.004,1021,400129,152113,146098
